fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.76412,0.001,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.77098,0.00115,0.00972,0.91257,0.00043,3.23446,0.72744,8.5209,0.54201,1.5,0.015,0.7,0.38281,0.0,0.10475,0.49793,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.74693,0.00104,0.00972,0.92106,0.00043,2.86331,0.72744,9.65571,0.54201,1.64286,0.01601,0.76042,0.34673,0.0,0.09091,0.40609,0.0,0.0,0.0,0.69483,0.0,1.0,0.0,0.0
0.0,0.00105,0.00972,0.90972,0.00043,3.32191,0.72715,8.90977,0.54201,1.33865,0.01468,0.7,0.37176,0.0,0.10475,0.46814,0.0,0.0,0.0,0.45596,0.0,1.0,0.0,0.0
0.0,0.00098,0.01024,0.92106,0.00042,2.86331,0.74431,9.58322,0.57339,1.48726,0.01601,0.75645,0.34095,0.0,0.09724,0.39027,0.0,0.0,0.0,0.63744,0.0,1.0,0.0,0.0
0.0,0.00099,0.00972,0.92106,0.00039,3.00846,0.75773,10.9865,0.57918,1.87706,0.01455,0.78296,0.36343,0.0,0.08411,0.35124,0.0,0.0,0.0,0.76077,0.0,1.0,0.0,0.0
0.0,0.00091,0.01038,0.90373,0.00047,2.73765,0.72744,13.32024,0.69756,1.59358,0.01601,0.76068,0.30362,0.0,0.08514,0.33004,0.0,0.0,0.0,0.78052,0.0,1.0,0.0,0.0
0.0,0.00104,0.008,0.8859,0.00043,3.62889,0.75037,10.37422,0.47961,1.64286,0.01836,0.74718,0.35562,0.0,0.09704,0.33301,0.0,0.0,0.0,0.62607,0.0,1.0,0.0,0.0
0.0,0.00106,0.00828,0.95694,0.00032,2.81278,0.72744,9.00702,0.48837,1.4539,0.01658,0.79432,0.36033,0.0,0.12525,0.40609,0.0,0.0,0.0,0.61213,0.0,1.0,0.0,0.0
0.0,0.00115,0.01113,0.86323,0.00037,3.72363,0.72744,8.60309,0.49326,1.6988,0.01407,0.74895,0.33207,0.0,0.10475,0.6158,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00101,0.00968,0.92106,0.00043,2.71923,0.74365,9.65571,0.53529,1.59732,0.01601,0.76753,0.34719,0.0,0.09091,0.40609,0.0,0.0,0.0,0.68754,0.0,1.0,0.0,0.0
0.0,0.00112,0.0094,0.90689,0.00043,2.7743,0.53574,9.4587,0.3788,1.3318,0.01372,0.60559,0.2987,0.0,0.09411,0.33192,0.0,0.0,0.0,0.60276,0.0,1.0,0.0,0.0
0.0,0.00106,0.00968,0.92025,0.00042,2.86331,0.7327,9.65571,0.52676,1.633,0.01693,0.72726,0.34809,0.0,0.09091,0.40679,0.0,0.0,0.0,0.64917,0.0,0.94969,0.0,0.0
0.0,0.00088,0.00972,0.91095,0.00043,3.30923,0.72744,8.98055,0.51183,1.36544,0.01601,0.78608,0.38921,0.0,0.08091,0.3775,0.0,0.0,0.0,0.67659,0.0,0.93297,0.0,0.0
0.0,0.00142,0.01002,0.91257,0.00038,2.94691,0.69094,8.5209,0.42378,1.63105,0.01571,0.7,0.38281,0.0,0.1264,0.60065,0.0,0.0,0.0,0.365,0.0,0.8243,0.0,0.0
0.0,0.00115,0.00724,0.91257,0.00036,3.16866,0.72744,8.63259,0.68667,1.7396,0.015,0.74952,0.36133,0.0,0.12158,0.41306,0.0,0.0,0.0,0.46069,0.0,1.0,0.0,0.0
0.0,0.00104,0.00993,0.92165,0.00048,2.86331,0.85289,9.65571,0.63079,1.87234,0.01458,0.76042,0.34673,0.0,0.0822,0.40609,0.0,0.0,0.0,0.53309,0.0,1.0,0.0,0.0
0.0,0.00112,0.00972,0.91257,0.00047,3.20928,0.67371,8.5209,0.58961,1.74065,0.01432,0.68917,0.36963,0.0,0.10758,0.51877,0.0,0.0,0.0,0.50798,0.0,1.0,0.0,0.0
0.0,0.00106,0.00856,0.98,0.00042,3.04123,0.72744,6.98962,0.59531,1.19879,0.01738,0.53285,0.38281,0.0,0.1246,0.50388,0.0,0.0,0.0,0.37351,0.0,1.0,0.0,0.0
0.0,0.00104,0.01003,0.94984,0.00049,3.04616,0.72744,9.65571,0.47987,1.64286,0.01544,0.74119,0.34673,0.0,0.09254,0.40158,0.0,0.0,0.0,0.69483,0.0,0.91291,0.0,0.0
0.0,0.00108,0.01017,0.937,0.00051,3.0867,0.76162,7.5,0.60981,1.5693,0.01645,0.7,0.46405,0.0,0.11232,0.49084,0.0,0.0,0.0,0.47167,0.0,1.0,0.0,0.0
0.0,0.00079,0.01022,0.91691,0.00043,3.05726,0.77179,9.42325,0.54329,1.45423,0.01478,0.7,0.48555,0.0,0.10352,0.49793,0.0,0.0,0.0,0.58346,0.0,0.92985,0.0,0.0
0.0,0.00118,0.0099,0.9085,0.00044,3.25976,0.72986,8.60395,0.53227,1.55703,0.01449,0.70131,0.38729,0.0,0.10765,0.49975,0.0,0.0,0.0,0.51354,0.0,1.0,0.0,0.0
0.0,0.001,0.00981,0.91399,0.00046,3.02402,0.80134,8.85731,0.58845,1.55087,0.015,0.59923,0.45083,0.0,0.09977,0.5,0.0,0.0,0.0,0.53663,0.0,0.849,0.0,0.0
0.0,0.00102,0.00978,0.92106,0.00045,2.86104,0.72269,9.80331,0.55012,1.68279,0.01601,0.77778,0.34565,0.0,0.08973,0.40609,0.0,0.0,0.0,0.69097,0.0,1.0,0.0,0.0
0.0,0.00111,0.00972,0.96712,0.00043,2.81235,0.74408,9.65571,0.54684,1.41693,0.01398,0.77602,0.34673,0.0,0.08837,0.39593,0.0,0.0,0.0,0.69891,0.0,0.98136,0.0,0.0
0.0,0.00108,0.00715,0.98,0.00044,4.68704,0.72744,8.69201,0.54201,1.15759,0.01244,0.9,0.38281,0.0,0.10151,0.50448,0.0,0.0,0.0,0.52204,0.0,1.0,0.0,0.0
0.0,0.00114,0.00972,0.925,0.00043,3.23446,0.72744,8.48719,0.54491,1.5,0.01514,0.70002,0.38942,0.0,0.10501,0.49117,0.0,0.0,0.0,0.51137,0.0,0.99368,0.0,0.0
0.0,0.00113,0.00984,0.91257,0.00042,3.25931,0.7405,8.5209,0.55035,1.51927,0.0148,0.69754,0.38179,0.0,0.10475,0.49195,0.0,0.0,0.0,0.50346,0.0,1.0,0.0,0.0
0.0,0.00128,0.0075,0.83998,0.00036,3.02429,0.52526,7.80958,0.54201,1.91412,0.01664,0.75877,0.3037,0.0,0.11663,0.47614,0.0,0.0,0.0,0.36879,0.0,0.79663,0.0,0.0
